one,two,three,four,five
1025,提供,tí gōng,"1. to offer
2. to supply
3. to provide
4. to furnish
",21
1026,提倡,tí chàng,"1. to promote
2. to advocate
",24
1027,提前,tí qián,"1. to shift to an earlier date
2. to do sth ahead of time
3. in advance
",22
1028,提纲,tí gāng,"1. outline
2. synopsis
3. notes
",21
1029,提醒,tí xǐng,"1. to remind
2. to call attention to
3. to warn of
",23
1030,提问,tí wèn,"1. to question
2. to quiz
3. to grill
",24
1031,插,chā,"1. to insert
2. stick in
3. pierce
4. to take part in
5. to interfere
6. to interpose
7. old variant of 插[cha1]
",1
1032,插座,chā zuò,"1. socket
2. outlet
",14
1033,握手,wò shǒu,"1. to shake hands
",43
1034,搀,chān,"1. to take by the arm and assist
2. to mix
3. to blend
4. to dilute
5. to adulterate
",1
1035,搏斗,bó dòu,"1. to wrestle
2. to fight
3. to struggle
",24
1036,搓,cuō,"1. to rub or roll between the hands or fingers
2. to twist
",1
1037,搜索,sōu suǒ,"1. to search (a place)
2. to search (a database etc)
",13
1038,搞,gǎo,"1. to do
2. to make
3. to go in for
4. to set up
5. to get hold of
6. to take care of
",3
1039,搭,dā,"1. to put up
2. to build (scaffolding)
3. to hang (clothes on a pole)
4. to connect
5. to join
6. to arrange in pairs
7. to match
8. to add
9. to throw in (resources)
10. to take (boat, train)
11. variant of 褡[da1]
",1
1040,搭档,dā dàng,"1. to cooperate
2. partner
",14
1041,搭配,dā pèi,"1. to pair up
2. to match
3. to arrange in pairs
4. to add sth into a group
",14
1042,摄影,shè yǐng,"1. to take a photograph
2. photography
3. to shoot (a movie)
",43
1043,摆,bǎi,"1. to arrange
2. to exhibit
3. to move to and fro
4. a pendulum
",3
1044,摆脱,bǎi tuō,"1. to break away from
2. to cast off (old ideas etc)
3. to get rid of
4. to break away (from)
5. to break out (of)
6. to free oneself from
7. to extricate oneself
",31
1045,摇,yáo,"1. surname Yao
2. to shake
3. to rock
4. to row
5. to crank
",2
1046,摔倒,shuāi dǎo,"1. to fall down
2. to slip and fall
3. to throw sb to the ground
",13
1047,摘,zhāi,"1. to take
2. to borrow
3. to pick (flowers, fruit etc)
4. to pluck
5. to select
6. to remove
7. to take off (glasses, hat etc)
",1
1048,摧残,cuī cán,"1. to ravage
2. to ruin
",12
1049,摸,mō,"1. to feel with the hand
2. to touch
3. to stroke
4. to grope
5. to steal
6. to abstract
7. variant of 摹[mo2]
",1
1050,撕,sī,"1. to tear
",1
1051,撞,zhuàng,"1. to knock against
2. to bump into
3. to run into
4. to meet by accident
",4
1052,撤退,chè tuì,"1. to retreat
",44
1053,撤销,chè xiāo,"1. to repeal
2. to revoke
3. (computing) to undo
",41
1054,播放,bō fàng,"1. to broadcast
2. to transmit
",14
1055,播种,bō zhǒng,"1. to sow seeds
2. sowing
3. seed
",13
1056,操作,cāo zuò,"1. to work
2. to operate
3. to manipulate
",14
1057,操劳,cāo láo,"1. to work hard
2. to look after
",12
1058,操场,cāo chǎng,"1. playground
2. sports field
3. drill ground
4. CL:個|个[ge4]
",13
1059,操心,cāo xīn,"1. to worry about
",11
1060,操纵,cāo zòng,"1. to operate
2. to control
3. to rig
4. to manipulate
",14
1061,操练,cāo liàn,"1. drill
2. practice
",14
1062,支,zhī,"1. surname Zhi
2. to support
3. to sustain
4. to erect
5. to raise
6. branch
7. division
8. to draw money
9. classifier for rods such as pens and guns, for army divisions and for songs or compositions
",1
1063,支持,zhī chí,"1. to be in favor of
2. to support
3. to back
4. support
5. backing
6. to stand by
7. CL:個|个[ge4]
",12
1064,支票,zhī piào,"1. check (bank)
2. cheque
3. CL:本[ben3]
",14
1065,收,shōu,"1. to receive
2. to accept
3. to collect
4. to put away
5. to restrain
6. to stop
7. in care of (used on address line after name)
",1
1066,收入,shōu rù,"1. to take in
2. income
3. revenue
4. CL:筆|笔[bi3],個|个[ge4]
",14
1068,收据,shōu jù,"1. receipt
2. CL:張|张[zhang1]
",14
1069,收获,shōu huò,"1. variant of 收穫|收获[shou1 huo4]
2. to harvest
3. to reap
4. to gain
5. crop
6. harvest
7. profit
8. gain
9. bonus
10. reward
",14
1070,改善,gǎi shàn,"1. to make better
2. to improve
3. CL:個|个[ge4]
",34
1071,改正,gǎi zhèng,"1. to correct
2. to amend
3. to put right
4. correction
5. CL:個|个[ge4]
",34
1072,改进,gǎi jìn,"1. to improve
2. to make better
3. CL:個|个[ge4]
",34
1073,改革,gǎi gé,"1. reform
2. CL:次[ci4],種|种[zhong3],項|项[xiang4]
3. to reform
",32
1074,政府,zhèng fǔ,"1. government
2. CL:個|个[ge4]
",43
1075,政治,zhèng zhì,"1. politics
2. political
",44
1076,效果,xiào guǒ,"1. result
2. effect
3. quality
4. CL:個|个[ge4]
",43
1077,效率,xiào lǜ,"1. efficiency
",44
1078,敌人,dí rén,"1. enemy
2. CL:個|个[ge4]
",22
1079,敌视,dí shì,"1. hostile
2. malevolence
3. antagonism
4. to view as enemy
5. to stand against
",24
1080,敏感,mǐn gǎn,"1. sensitive
2. susceptible
",33
1081,救,jiù,"1. variant of 救[jiu4]
2. to save
3. to assist
4. to rescue
",4
1082,教材,jiào cái,"1. teaching material
2. CL:本[ben3]
",42
1083,教练,jiào liàn,"1. instructor
2. sports coach
3. trainer
4. CL:個|个[ge4],位[wei4],名[ming2]
",44
1084,教训,jiào xun,"1. lesson
2. moral
3. to chide sb
4. to lecture sb
",40
1085,敞开,chǎng kāi,"1. to open wide
2. unrestrictedly
",31
1086,散步,sàn bù,"1. to take a walk
2. to go for a walk
",44
1087,数,shù,"1. to count
2. to enumerate
3. to criticize (i.e. enumerate shortcomings)
4. number
5. figure
6. several
7. CL:個|个[ge4]
8. frequently
9. repeatedly
",4
1088,数字,shù zì,"1. numeral
2. digit
3. number
4. figure
5. amount
6. digital (electronics etc)
7. CL:個|个[ge4]
",44
1089,数据,shù jù,"1. data
2. numbers
3. digital
",44
1090,数码,shù mǎ,"1. number
2. numerals
3. figures
4. digital
5. amount
6. numerical code
",43
1091,数量,shù liàng,"1. amount
2. quantity
3. CL:個|个[ge4]
4. quantitative
",44
1092,敲,qiāo,"1. to hit
2. to strike
3. to tap
4. to rap
5. to knock
6. to rip sb off
7. to overcharge
",1
1093,整个,zhěng gè,"1. whole
2. entire
3. total
",34
1094,整体,zhěng tǐ,"1. whole entity
2. entire body
3. synthesis
4. as a whole (situation, construction, team etc)
5. global
6. macrocosm
7. integral
8. holistic
9. whole
",33
1095,整理,zhěng lǐ,"1. to arrange
2. to tidy up
3. to sort out
4. to straighten out
5. to list systematically
6. to collate (data, files)
7. to pack (luggage)
",33
1096,整齐,zhěng qí,"1. orderly
2. neat
3. even
4. tidy
",32
1097,文件,wén jiàn,"1. document
2. file
3. CL:份[fen4]
",24
1098,文具,wén jù,"1. stationery
2. item of stationery (pen, pencil, eraser, pencil sharpener etc)
",24
1099,文字,wén zì,"1. character
2. script
3. writing
4. written language
5. writing style
6. phraseology
7. CL:個|个[ge4]
",24
1100,文学,wén xué,"1. literature
2. CL:種|种[zhong3]
",22
1101,文明,wén míng,"1. civilized
2. civilization
3. culture
4. CL:個|个[ge4]
",22
1102,文章,wén zhāng,"1. article
2. essay
3. literary works
4. writings
5. hidden meaning
6. CL:篇[pian1],段[duan4],頁|页[ye4]
",21
1103,斑,bān,"1. spot
2. colored patch
3. stripe
4. spotted
5. striped
6. variegated
",1
1104,斗争,dòu zhēng,"1. a struggle
2. fight
3. battle
",41
1105,斜,xié,"1. inclined
2. slanting
3. oblique
4. tilting
",2
1106,断,duàn,"1. to break
2. to snap
3. to cut off
4. to give up or abstain from sth
5. to judge
6. (usu. used in the negative) absolutely
7. definitely
8. decidedly
",4
1107,断定,duàn dìng,"1. to conclude
2. to determine
3. to come to a judgment
",44
1108,断绝,duàn jué,"1. to sever
2. to break off
",42
1109,方,fāng,"1. surname Fang
2. square
3. power or involution (mathematics)
4. upright
5. honest
6. fair and square
7. direction
8. side
9. party (to a contract, dispute etc)
10. place
11. method
12. prescription (medicine)
13. just when
14. only or just
15. classifier for square things
16. abbr. for square or cubic meter
",1
1110,方式,fāng shì,"1. way
2. manner
3. style
4. mode
5. pattern
6. CL:個|个[ge4]
",14
1111,方案,fāng àn,"1. plan
2. program (for action etc)
3. proposal
4. proposed bill
5. CL:個|个[ge4],套[tao4]
",14
1112,无,wú,"1. not to have
2. no
3. none
4. not
5. to lack
6. un-
7. -less
",2
1113,无奈,wú nài,"1. helpless
2. without choice
3. for lack of better option
4. grudgingly
5. willy-nilly
6. nolens volens
7. abbr. for 無可奈何|无可奈何[wu2 ke3 nai4 he2]
",24
1114,无数,wú shù,"1. countless
2. numberless
3. innumerable
",24
1115,无聊,wú liáo,"1. bored
2. boring
3. senseless
",22
1116,无论,wú lùn,"1. no matter what or how
2. regardless of whether...
",24
1117,日历,rì lì,"1. calendar
2. CL:張|张[zhang1],本[ben3]
",44
1118,日子,rì zi,"1. day
2. a (calendar) date
3. days of one's life
",40
1119,日常,rì cháng,"1. daily
2. everyday
",42
1120,日期,rì qī,"1. date
2. CL:個|个[ge4]
",41
1121,日用品,rì yòng pǐn,"1. articles for daily use
2. CL:件[jian4],個|个[ge4]
",443
1122,日程,rì chéng,"1. schedule
2. itinerary
3. CL:個|个[ge4]
",42
1123,日记,rì jì,"1. diary
2. CL:則|则[ze2],本[ben3],篇[pian1]
",44
1124,时代,shí dài,"1. Time, US weekly news magazine
2. age
3. era
4. epoch
5. period (in one's life)
6. CL:個|个[ge4]
",24
1125,时刻,shí kè,"1. moment
2. CL:個|个[ge4]
3. constantly
4. always
",24
1126,时尚,shí shàng,"1. fashion
2. fad
3. fashionable
",24
1127,时差,shí chā,"1. time difference
2. time lag
3. jet lag
",21
1128,时期,shí qī,"1. period
2. phase
3. CL:個|个[ge4]
",21
1129,时髦,shí máo,"1. in vogue
2. fashionable
",22
1130,昂贵,áng guì,"1. expensive
2. costly
",24
1131,昆虫,kūn chóng,"1. insect
2. CL:隻|只[zhi1],群[qun2],堆[dui1]
",12
1132,昌盛,chāng shèng,"1. prosperous
",14
1133,明星,míng xīng,"1. star
2. celebrity
",21
1134,明显,míng xiǎn,"1. clear
2. distinct
3. obvious
",23
1135,明确,míng què,"1. clear-cut
2. definite
3. explicit
4. to clarify
5. to specify
6. to make definite
",24
1136,是否,shì fǒu,"1. whether (or not)
2. if
3. is or isn't
",43
1137,显得,xiǎn de,"1. to seem
2. to look
3. to appear
",30
1138,显然,xiǎn rán,"1. clear
2. evident
3. obvious(ly)
",32
1139,显示,xiǎn shì,"1. to show
2. to illustrate
3. to display
4. to demonstrate
",34
1140,晒,shài,"1. variant of 曬|晒[shai4]
2. (of the sun) to shine on
3. to bask in (the sunshine)
4. to dry (clothes, grain etc) in the sun
5. (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from ""share"")
6. (coll.) to give the cold shoulder to
",4
1141,晕,yūn,"1. confused
2. dizzy
3. giddy
4. to faint
5. to swoon
6. to lose consciousness
7. to pass out
8. dizzy
9. halo
10. ring around moon or sun
",1
1142,普遍,pǔ biàn,"1. universal
2. general
3. widespread
4. common
",34
1143,智慧,zhì huì,"1. wisdom
2. knowledge
3. intelligent
4. intelligence
",44
1144,暂时,zàn shí,"1. temporary
2. provisional
3. for the time being
",42
1145,暗,àn,"1. variant of 暗[an4]
2. dark
3. gloomy
4. hidden
5. secret
6. muddled
7. obscure
8. in the dark
9. to close (a door)
10. to eclipse
11. muddled
12. stupid
13. ignorant
14. variant of 暗[an4]
",4
1146,暗示,àn shì,"1. to hint
2. to suggest
3. suggestion
4. hint
",44
1147,暧昧,ài mèi,"1. vague
2. ambiguous
3. equivocal
4. dubious
",44
1148,暴力,bào lì,"1. violence
2. force
3. violent
",44
1149,暴露,bào lù,"1. to expose
2. to reveal
3. to lay bare
4. also pr. [pu4 lu4]
",44
1150,曝光,bào guāng,"1. to expose (photography)
2. (fig.) to expose (a scandal)
3. (advertising) exposure
4. Taiwan pr. [pu4 guang1]
",41
1151,曾经,céng jīng,"1. once
2. already
3. former
4. previously
5. ever
6. (past tense marker used before verb or clause)
",21
1152,最初,zuì chū,"1. first
2. primary
3. initial
4. original
5. at first
6. initially
7. originally
",41
1153,最好,zuì hǎo,"1. best
2. (you) had better (do what we suggest)
",43
1154,有利,yǒu lì,"1. advantageous
2. to have advantages
3. favorable
",34
1155,有趣,yǒu qù,"1. interesting
2. fascinating
3. amusing
",34
1156,服装,fú zhuāng,"1. dress
2. clothing
3. costume
4. clothes
5. CL:身[shen1]
",21
1157,朗读,lǎng dú,"1. to read aloud
",32
1158,朝,Cháo,"1. abbr. for 朝鮮|朝鲜[Chao2 xian3] Korea
2. imperial or royal court
3. government
4. dynasty
5. reign of a sovereign or emperor
6. court or assembly held by a sovereign or emperor
7. to make a pilgrimage to
8. facing
9. towards
10. morning
",2
1159,朝代,cháo dài,"1. dynasty
2. reign (of a king)
",24
1160,期待,qī dài,"1. to look forward to
2. to await
3. expectation
",14
1161,期间,qī jiān,"1. period of time
2. time
3. time period
4. period
5. CL:個|个[ge4]
",11
1162,木头,mù tou,"1. slow-witted
2. blockhead
3. log (of wood, timber etc)
4. CL:塊|块[kuai4],根[gen1]
",40
1163,未必,wèi bì,"1. not necessarily
2. maybe not
",44
1164,未来,wèi lái,"1. future
2. tomorrow
3. CL:個|个[ge4]
4. approaching
5. coming
6. pending
",42
1165,本事,běn shì,"1. source material
2. original story
3. ability
4. skill
",34
1166,本人,běn rén,"1. the person himself
2. I (humble form used in speeches)
3. oneself
4. myself
5. in person
6. personal
",32
1167,本科,běn kē,"1. undergraduate course
2. undergraduate (attributive)
",31
1168,本能,běn néng,"1. instinct
",32
1169,本质,běn zhì,"1. essence
2. nature
3. innate character
4. intrinsic quality
",34
1170,本身,běn shēn,"1. itself
2. in itself
3. per se
",31
1171,本钱,běn qián,"1. capital
2. (fig.) asset
3. advantage
4. the means (to do sth)
",32
1172,本领,běn lǐng,"1. skill
2. ability
3. capability
4. CL:項|项[xiang4],個|个[ge4]
",33
1173,朵,duǒ,"1. flower
2. earlobe
3. fig. item on both sides
4. classifier for flowers, clouds etc
5. variant of 朵[duo3]
",3
1174,机器,jī qì,"1. machine
2. CL:臺|台[tai2],部[bu4],個|个[ge4]
",14
1175,杀,shā,"1. to kill
2. to murder
3. to fight
4. to weaken or reduce
5. to smart (dialect)
6. to counteract
7. (used after a verb) extremely
",1
1176,杂志,zá zhì,"1. magazine
2. CL:本[ben3],份[fen4],期[qi1]
",24
1177,权利,quán lì,"1. power
2. right
3. privilege
",24
1178,权力,quán lì,"1. power
2. authority
",24
1179,杜绝,dù jué,"1. to put an end to
",42
1180,条件,tiáo jiàn,"1. condition
2. circumstances
3. term
4. factor
5. requirement
6. prerequisite
7. qualification
8. CL:個|个[ge4]
",24
1181,来,lái,"1. to come
2. to arrive
3. to come round
4. ever since
5. next
",2
1182,杯子,bēi zi,"1. cup
2. glass
3. CL:個|个[ge4],支[zhi1],枝[zhi1]
",10
1183,极其,jí qí,"1. extremely
",22
1184,构成,gòu chéng,"1. to constitute
2. to form
3. to compose
4. to make up
5. to configure (computing)
",42
1185,果实,guǒ shí,"1. fruit (produced by a plant)
2. (fig.) fruits (of success etc)
3. results
4. gains
",32
1186,果然,guǒ rán,"1. really
2. sure enough
3. as expected
4. if indeed
",32
1187,枪,qiāng,"1. surname Qiang
2. gun
3. firearm
4. rifle
5. spear
6. thing with shape or function similar to a gun
7. CL:支[zhi1],把[ba3],桿|杆[gan3],條|条[tiao2],枝[zhi1]
8. to substitute for another person in a test
9. to knock
10. classifier for rifle shots
11. variant of 槍|枪[qiang1]
12. rifle
13. spear
",1
1188,某,mǒu,"1. some
2. a certain
3. sb or sth indefinite
4. such-and-such
",3
1189,柜台,guì tái,"1. variant of 櫃檯|柜台[gui4 tai2]
2. sales counter
3. front desk
4. bar
5. (of markets, medicines etc) OTC (over-the-counter)
6. variant of 櫃檯|柜台[gui4 tai2]
",42
1190,查获,chá huò,"1. to track down and seize (a criminal suspect, contraband etc)
",24
1191,柴油,chái yóu,"1. diesel fuel
",22
1192,标志,biāo zhì,"1. sign
2. mark
3. symbol
4. to symbolize
5. to indicate
6. to mark
",14
1193,标本,biāo běn,"1. specimen
2. sample
3. the root cause and symptoms of a disease
",13
1194,标点,biāo diǎn,"1. punctuation
2. a punctuation mark
3. to punctuate
4. CL:個|个[ge4]
",13
1195,标记,biāo jì,"1. sign
2. mark
3. symbol
4. to mark up
",14
1196,标题,biāo tí,"1. title
2. heading
3. headline
4. caption
5. subject
",12
1197,栋,dòng,"1. classifier for houses or buildings
2. ridgepole (old)
",4
1198,样子,yàng zi,"1. appearance
2. manner
3. pattern
4. model
",40
1199,样式,yàng shì,"1. type
2. style
",44
1200,核心,hé xīn,"1. core
2. nucleus
",21
1201,根,gēn,"1. root
2. basis
3. classifier for long slender objects, e.g. cigarettes, guitar strings
4. CL:條|条[tiao2]
5. radical (chemistry)
",1
1202,根本,gēn běn,"1. fundamental
2. basic
3. root
4. simply
5. absolutely (not)
6. (not) at all
7. CL:個|个[ge4]
",13
1203,格外,gé wài,"1. especially
2. particularly
",24
1204,桃,táo,"1. peach
",2
1205,案件,àn jiàn,"1. case
2. instance
3. CL:宗[zong1],樁|桩[zhuang1],起[qi3]
",44
1206,案例,àn lì,"1. case (law)
2. CL:個|个[ge4]
",44
1207,桔子,jú zi,"1. tangerine
2. also written 橘子
3. CL:個|个[ge4],瓣[ban4]
",20
1208,档案,dàng àn,"1. file
2. record
3. archive
",44
1209,档次,dàng cì,"1. grade
2. class
3. quality
4. level
",44
1210,桥,qiáo,"1. bridge
2. CL:座[zuo4]
",2
1211,梦想,mèng xiǎng,"1. (fig.) to dream of
2. dream
",43
1212,梨,lí,"1. pear
2. CL:個|个[ge4]
",2
1213,梳子,shū zi,"1. comb
2. CL:把[ba3]
",10
1214,森林,sēn lín,"1. forest
2. CL:片[pian4]
",12
1215,植物,zhí wù,"1. plant
2. vegetation
3. CL:種|种[zhong3]
",24
1216,概念,gài niàn,"1. concept
2. idea
3. CL:個|个[ge4]
",44
1217,概括,gài kuò,"1. to summarize
2. to generalize
3. briefly
4. CL:個|个[ge4]
",44
1218,榜样,bǎng yàng,"1. example
2. model
3. CL:個|个[ge4]
",34
1219,模仿,mó fǎng,"1. to imitate
2. to copy
3. to emulate
4. to mimic
5. model
",23
1220,模特,mó tè,"1. (fashion) model (loanword)
",24
1221,模糊,mó hu,"1. vague
2. indistinct
3. fuzzy
",20
1222,橙,chéng,"1. orange tree
2. orange (color)
",2
1223,橡皮,xiàng pí,"1. rubber
2. an eraser
3. CL:塊|块[kuai4]
",42
1224,欠,qiàn,"1. deficient
2. to owe
3. to lack
4. yawn
",4
1225,次品,cì pǐn,"1. substandard products
2. defective
3. seconds
",43
1226,次序,cì xù,"1. sequence
2. order
",44
1227,次要,cì yào,"1. secondary
",44
1228,欣赏,xīn shǎng,"1. to appreciate
2. to enjoy
3. to admire
",13
1229,欧洲,Oū zhōu,"1. Europe
2. abbr. for 歐羅巴洲|欧罗巴洲[Ou1 luo2 ba1 Zhou1]
",11
1230,歇,xiē,"1. to rest
2. to take a break
3. to stop
4. to halt
5. (dialect) to sleep
6. a moment
7. a short while
",1
1231,正,zhèng,"1. first month of the lunar year
2. straight
3. upright
4. proper
5. main
6. principal
7. to correct
8. to rectify
9. exactly
10. just (at that time)
11. right (in that place)
12. (math.) positive
",4
1232,正好,zhèng hǎo,"1. just (in time)
2. just right
3. just enough
4. to happen to
5. to chance to
6. by chance
7. it just so happens that
",43
1233,正常,zhèng cháng,"1. regular
2. normal
3. ordinary
",42
1234,正式,zhèng shì,"1. formal
2. official
",44
1235,正确,zhèng què,"1. correct
2. proper
",44
1236,此外,cǐ wài,"1. besides
2. in addition
3. moreover
4. furthermore
",34
1237,步伐,bù fá,"1. pace
2. (measured) step
3. march
",42
1238,步骤,bù zhòu,"1. procedure
2. step
",44
1239,武术,wǔ shù,"1. military skill or technique (in former times)
2. all kinds of martial art sports (some claiming spiritual development)
3. self-defense
4. tradition of choreographed fights from opera and film (recent usage)
5. also called kungfu 功夫
6. CL:種|种[zhong3]
",34
1240,歪,wāi,"1. askew
2. at a crooked angle
3. devious
4. noxious
5. (coll.) to lie on one's side
6. to sprain (one's ankle) (Tw)
",1
1241,歹徒,dǎi tú,"1. evildoer
2. malefactor
3. gangster
4. hoodlum
",32
1242,死,sǐ,"1. to die
2. impassable
3. uncrossable
4. inflexible
5. rigid
6. extremely
7. damned
",3
1243,残忍,cán rěn,"1. cruel
2. mean
3. merciless
4. ruthless
",23
1244,残疾,cán jí,"1. disabled
2. handicapped
3. deformity on a person or animal
",22
1245,残酷,cán kù,"1. cruel
2. cruelty
",24
1246,毒品,dú pǐn,"1. drugs
2. narcotics
3. poison
",23
1247,比例,bǐ lì,"1. proportion
2. scale
",34
1248,比喻,bǐ yù,"1. to compare
2. to liken to
3. metaphor
4. analogy
5. figure of speech
6. figuratively
",34
1249,比方,bǐ fāng ,"1. analogy
2. instance
3. for instance
",31
1250,比重,bǐ zhòng,"1. proportion
2. specific gravity
",34
1251,毕竟,bì jìng,"1. after all
2. all in all
3. when all is said and done
4. in the final analysis
",44
1252,毛病,máo bìng,"1. fault
2. defect
3. shortcomings
4. ailment
5. CL:個|个[ge4]
",24
1253,气候,qì hòu,"1. climate
2. atmosphere
3. situation
4. CL:種|种[zhong3]
",44
1254,气氛,qì fēn,"1. atmosphere
2. mood
",41
1255,永远,yǒng yuǎn,"1. forever
2. eternal
",33
1256,汇率,huì lǜ,"1. exchange rate
",44
1257,汉语,Hàn yǔ,"1. Chinese language
2. CL:門|门[men2]
",43
1258,池塘,chí táng,"1. pool
2. pond
",22
1259,污染,wū rǎn,"1. pollution
2. contamination
3. CL:個|个[ge4]
",13
1260,汤,Tāng,"1. surname Tang
2. rushing current
3. soup
4. hot or boiling water
5. decoction of medicinal herbs
6. water in which sth has been boiled
",1
1261,汽油,qì yóu,"1. gasoline
",42
1262,沉思,chén sī,"1. to contemplate
2. to ponder
3. contemplation
4. meditation
",21
1263,沉淀,chén diàn,"1. to settle
2. to precipitate (solid sediment out of a solution)
",24
1264,沉着,chén zhuó,"1. steady
2. calm and collected
3. not nervous
",22
1265,沉重,chén zhòng,"1. heavy
2. hard
3. serious
4. critical
",24
1266,沉闷,chén mèn,"1. oppressive (of weather)
2. heavy
3. depressed
4. not happy
5. (of sound) dull
6. muffled
",24
1267,沉默,chén mò,"1. taciturn
2. uncommunicative
3. silent
",24
1268,沙发,shā fā,"1. sofa (loanword)
2. CL:條|条[tiao2],張|张[zhang1]
3. (Internet slang) the first reply or replier to a forum post
",11
1269,沙滩,shā tān,"1. beach
2. sandy shore
3. CL:片[pian4]
",11
1270,沙漠,shā mò,"1. desert
2. CL:個|个[ge4]
",14
1271,沟通,gōu tōng,"1. to join
2. to connect
3. to link up
4. to communicate
",11
1272,没有,méi yǒu,"1. haven't
2. hasn't
3. doesn't exist
4. to not have
5. to not be
",23
1273,油炸,yóu zhá,"1. to deep fry
",22
1274,治疗,zhì liáo,"1. to treat (an illness)
2. medical treatment
3. therapy
",42
1275,法人,fǎ rén,"1. legal person
2. corporation
3. see also 自然人[zi4 ran2 ren2]
",32
1276,法院,fǎ yuàn,"1. court of law
2. court
",34
1277,波浪,bō làng,"1. wave
",14
1278,波涛,bō tāo,"1. great waves
2. billows
",11
1279,注册,zhù cè,"1. to register
2. to enroll
",44
1280,洒,sǎ,"1. to sprinkle
2. to spray
3. to spill
4. to shed
",3
1281,洞,dòng,"1. cave
2. hole
3. zero (unambiguous spoken form when spelling out numbers)
4. CL:個|个[ge4]
",4
1282,活跃,huó yuè,"1. active
2. lively
3. excited
4. to enliven
5. to brighten up
",24
1283,派,pài,"1. clique
2. school
3. group
4. faction
5. to dispatch
6. to send
7. to assign
8. to appoint
9. pi (Greek letter Ππ)
10. the circular ratio pi = 3.1415926
11. (loanword) pie
",4
1284,流传,liú chuán,"1. to spread
2. to circulate
3. to hand down
",22
1285,流泪,liú lèi,"1. to shed tears
",24
1286,浅,qiǎn,"1. sound of moving water
2. shallow
3. light (color)
",3
1287,浇,jiāo,"1. to pour liquid
2. to irrigate (using waterwheel)
3. to water
4. to cast (molten metal)
5. to mold
",1
1288,测量,cè liáng,"1. survey
2. to measure
3. to gauge
4. to determine
",42
1289,测验,cè yàn,"1. test
2. to test
3. CL:次[ci4],個|个[ge4]
",44
1290,浏览,liú lǎn,"1. to skim over
2. to browse
",23
1291,浓,nóng,"1. concentrated
2. dense
3. strong (smell etc)
",2
1292,海关,hǎi guān,"1. customs (i.e. border crossing inspection)
2. CL:個|个[ge4]
",31
1293,海鲜,hǎi xiān,"1. seafood
",31
1294,消化,xiāo huà,"1. to digest
2. digestion
3. digestive
",14
1295,消失,xiāo shī,"1. to disappear
2. to fade away
",11
1296,消息,xiāo xi,"1. news
2. information
3. CL:條|条[tiao2]
",10
1297,消极,xiāo jí,"1. negative
2. passive
3. inactive
",12
1298,消费,xiāo fèi,"1. to consume
2. CL:個|个[ge4]
",14
1299,涨,zhǎng,"1. to rise (of prices, rivers)
2. to swell
3. to distend
",3
1300,淘气,táo qì,"1. naughty
2. mischievous
",24
1301,淡,dàn,"1. insipid
2. diluted
3. weak
4. mild
5. light in color
6. tasteless
7. fresh
8. indifferent
9. nitrogen
",4
1302,淡季,dàn jì,"1. off season
2. slow business season
3. see also 旺季[wang4 ji4]
",44
1303,淡水,dàn shuǐ,"1. Danshui or Tanshui town in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan
2. potable water (water with low salt content)
3. fresh water
",43
1304,深,shēn,"1. old variant of 深[shen1]
2. deep
3. depth
4. deeply
5. (of a color) dark
6. deep
7. rich
",1
1305,深刻,shēn kè,"1. profound
2. deep
3. deep-going
",14
1306,清淡,qīng dàn,"1. light (of food, not greasy or strongly flavored)
2. insipid
3. slack (sales)
",14
1307,温度,wēn dù,"1. temperature
2. CL:個|个[ge4]
",14
1308,温暖,wēn nuǎn,"1. warm
",13
1309,温柔,wēn róu,"1. gentle and soft
2. tender
",12
1310,游览,yóu lǎn,"1. to go sight-seeing
2. to tour
3. to visit
4. CL:次[ci4]
",23
1311,湿润,shī rùn,"1. moist
",14
1312,滑,huá,"1. surname Hua
2. to slip
3. to slide
4. smooth
5. slippery
6. cunning
",2
1313,滚,gǔn,"1. to boil
2. to roll
3. to take a hike
4. Get lost!
",3
1314,满足,mǎn zú,"1. to satisfy
2. to meet (the needs of)
3. satisfied
4. content
",32
1315,滴,dī,"1. a drop
2. to drip
",1
1316,漏,lòu,"1. to leak
2. to divulge
3. to leave out by mistake
4. waterclock or hourglass (old)
",4
1317,演出,yǎn chū,"1. to act (in a play)
2. to perform
3. to put on (a performance)
4. performance
5. concert
6. show
7. CL:場|场[chang3],次[ci4]
",31
1318,演员,yǎn yuán,"1. actor or actress
2. performer
3. CL:個|个[ge4],位[wei4],名[ming2]
",32
1319,演讲,yǎn jiǎng,"1. lecture
2. to make a speech
",33
1320,潮流,cháo liú,"1. tide
2. current
3. trend
",22
1321,潮湿,cháo shī,"1. damp
2. moist
",21
1322,澄清,chéng qīng,"1. clear (of liquid)
2. limpid
3. to clarify
4. to make sth clear
5. to be clear (about the facts)
6. to settle (of liquid)
7. to become clear (by precipitation of impurities)
8. precipitate (chemistry)
9. to put in order
10. to quell disturbances
",21
1323,激烈,jī liè,"1. intense
2. acute
3. fierce
",14
1324,濒临,bīn lín,"1. on the edge of
2. (fig.) on the verge of
3. close to
",12
1325,火柴,huǒ chái,"1. match (for lighting fire)
2. CL:根[gen1],盒[he2]
",32
1326,灯笼,dēng lóng,"1. lantern
",12
1327,灰,huī,"1. ash
2. dust
3. lime
4. gray
5. discouraged
6. dejected
",1
